Terminal,Station,Latitude,Longitude,Ndocks
30000,100 Main Street SE,44.984891999999995,-93.256551,23
30001,25th Street & 33rd. Ave. S.,44.95734,-93.22374,15
30002,Augsburg College,44.96622,-93.2384,21
30003,Plymouth Ave N. &  N. Oliver Ave,44.991412,-93.306569,23
30004,11th Street & Hennepin,44.97534,-93.27869,23
30005,Hennepin & 5th Street NE,44.988890000000005,-93.25392,15
30006,YWCA Downtown,44.972217,-93.27635,19
30007,9th Street & 4th Ave.,44.97265,-93.26872,15
30008,Midtown Exchange,44.94913,-93.26124,19
30009,4th Street & 13th Ave. SE,44.98102,-93.23746,15
30010,Hennepin & Laurel Ave.,44.97391,-93.28305,15
30011,North 2nd Street & 3rd Ave. N,44.986078000000006,-93.272459,19
30012,Mpls. Convention Center,44.970098,-93.275886,19
30013,Lake Street & Lyndale,44.94964,-93.28827,19
30014,Franklin & 21st. Ave.,44.96267,-93.24304000000001,15
30015,Washington & Cedar,44.973440000000004,-93.24748000000001,12
30016,Walker Art Center,44.967459999999996,-93.28848,17
30017,22nd Street & Lyndale,44.960744,-93.28815,15
30018,MCAD,44.95728,-93.27458,17
30019,Blegen Hall,44.972169,-93.242968,33
30020,YWCA Uptown,44.95131,-93.29853,19
30021,Washington & 2nd Ave. N,44.98383,-93.27099,19
30022,26th Street & Lyndale,44.95548,-93.28775,15
30023,Chicago & 27th Street,44.953396000000005,-93.262487,15
30024,Kolthoff Hall,44.973799,-93.236458,23
30025,Williamson Hall,44.977406,-93.234911,25
30026,Lind Hall,44.97419,-93.23331,19
30027,Wilson Library,44.970653000000006,-93.24351800000001,31
30028,Washington & Marquette,44.981120000000004,-93.26634,19
30029,5th Street & 3rd Ave. S,44.97739,-93.26701,27
30030,3rd Ave S. & S. 2nd Street,44.980926000000004,-93.26285,19
30031,University Ave. & 23rd Ave. SE,44.974588,-93.223323,23
30032,4th Street & 17th Ave. SE,44.97913,-93.23189,15
30033,Franklin & 11th Ave.,44.962509999999995,-93.2583,15
30034,Mayo Building,44.972165000000004,-93.23193,25
30035,Loring Park,44.970923,-93.286468,15
30036,Downtown Library,44.980199,-93.269217,31
30037,Cedar-Riverside LRT,44.96778,-93.25033,15
30038,Franklin Avenue LRT,44.96378,-93.247546,15
30039,Park Ave. S & 5th Street,44.974909999999994,-93.26078000000001,19
30040,11th Street & Marquette,44.97265,-93.27405,19
30041,Franklin & Portland,44.962846,-93.267526,15
30042,IDS Center,44.975640999999996,-93.272185,19
30043,Lake Street & Humboldt,44.94865,-93.30077,19
30044,26th Street & Hennepin,44.9554734,-93.29714298,15
30045,Franklin & 28th Ave. ,44.9627,-93.23066,19
30046,Chicago & S. 2nd Street,44.977920000000005,-93.25661,19
30047,University & Bank Street SE,44.98717,-93.25576,15
30048,Franklin & Colfax,44.9629,-93.29174,15
30049,Nicollet and 24th Street,44.959046,-93.2783,11
30050,3rd Street & 2nd Ave. S,44.97974,-93.26599,27
30051,7th Street & 4th Ave. S,44.97497,-93.266684,15
30052,Nicollet Mall and Grant Street,44.96995,-93.27833000000001,15
30053,2nd Ave N. and 4th Street N.,44.98193,-93.274108,27
30054,27th Street & 5th Ave S.,44.954096,-93.26907,15
30055,5th Street & Hennepin ,44.9794,-93.27221,15
30056,5th Ave N & 4th Street N,44.984390000000005,-93.277316,20
30057,Cooke Hall,44.97631,-93.230073,15
30058,Coffman Union,44.973366,-93.235929,11
30059,Summit Academy,44.983938,-93.291001,15
30060,Nicollet & Franklin,44.96342,-93.277839,23
30061,24th & Emerson Avenue S,44.959629,-93.294317,11
30062,International Market Square,44.979396,-93.288464,19
30063,Elliot Park,44.970065000000005,-93.261176,15
30064,27th & Nicollet,44.953744,-93.277689,15
